,agent_model,_progress/year_fractional,yearly_welfare/AUS,yearly_welfare/ENG,yearly_welfare/FRA,yearly_welfare/GER,yearly_welfare/ITA,yearly_welfare/RUS,yearly_welfare/TUR,_progress/year_integer
0,claude-2.0,10.9,1.9,2.0,3.3,2.1,2.5,3.8,3.3,10
1,claude-2.0,10.9,2.7,2.6,2.7,2.6,2.4,5.5,2.5,10
2,claude-2.0,10.9,1.8,1.7,1.6,3.3,3.5,4.1,2.9,10
3,claude-2.0,10.9,1.5,1.4,2.3,3.2,2.2,3.5,1.7,10
4,claude-2.0,10.9,3.0,2.8,2.4,2.7,3.6,4.2,2.7,10
5,claude-instant-1.2,10.9,1.3,1.5,0.3,1.3,2.1,1.2,1.9,10
6,claude-instant-1.2,10.9,0.0,2.4,2.5,2.5,0.1,1.8,2.1,10
7,claude-instant-1.2,10.9,0.0,0.0,0.5,3.0,0.0,2.9,2.1,10
8,claude-instant-1.2,10.9,1.6,1.8,1.5,2.5,2.4,0.6,0.8,10
9,claude-instant-1.2,10.9,0.0,1.2,1.6,2.2,1.6,1.2,1.4,10
0,gpt-3.5-turbo-16k-0613,10.9,2.8,1.2,2.7,1.8,1.2,2.7,0.8,10
1,gpt-3.5-turbo-16k-0613,10.9,1.3,1.7,1.5,1.7,1.9,2.7,1.5,10
2,gpt-3.5-turbo-16k-0613,10.9,2.3,2.2,1.6,1.2,2.0,2.5,2.0,10
3,gpt-3.5-turbo-16k-0613,10.9,3.3,1.9,1.5,2.2,1.3,1.8,2.0,10
4,gpt-3.5-turbo-16k-0613,10.9,2.2,1.5,1.2,1.7,1.8,3.5,1.8,10
0,gpt-4-0613,10.9,4.3,2.2,2.1,2.8,3.1,4.2,3.2,10
1,gpt-4-0613,10.9,3.5,2.1,2.5,3.5,3.7,3.2,3.3,10
2,gpt-4-0613,10.9,3.5,3.0,4.4,3.7,2.7,4.4,3.7,10
3,gpt-4-0613,10.9,3.5,2.7,2.7,3.7,2.7,3.0,4.2,10
4,gpt-4-0613,10.9,2.8,3.7,3.7,3.6,3.7,4.3,2.8,10
0,gpt-4-base,10.9,4.3,3.0,2.6,3.2,2.5,1.7,2.3,10
1,gpt-4-base,10.9,4.9,1.8,0.9,1.6,2.5,1.1,1.3,10
2,gpt-4-base,10.9,1.1,1.8,3.3,1.4,1.1,3.4,3.1,10
3,gpt-4-base,10.9,0.8,3.1,4.8,2.5,2.2,3.6,3.1,10
4,gpt-4-base,10.9,2.3,0.6,1.7,1.6,2.8,1.9,2.6,10
0,Super Exploiter,10.9,3.7,0.8,1.8,1.4,1.8,1.7,2.2,10
1,Super Exploiter,10.9,0.9,2.3,2.0,2.1,2.3,1.6,1.6,10
2,Super Exploiter,10.9,1.3,1.7,1.6,1.5,0.9,1.6,1.8,10
3,Super Exploiter,10.9,0.7,1.0,0.5,1.4,1.0,0.5,2.4,10
4,Super Exploiter,10.9,1.7,1.6,1.7,2.9,1.5,2.0,1.6,10
0,llama-2-70b-chat,10.9,1.2,1.2,1.8,2.4,2.4,3.6,1.5,10
1,llama-2-70b-chat,10.9,1.8,0.9,0.9,1.5,2.1,3.2,2.7,10
2,llama-2-70b-chat,10.9,1.2,1.2,1.2,3.0,0.9,0.8,1.5,10
3,llama-2-70b-chat,10.9,1.0,2.4,2.4,2.1,2.1,2.4,2.4,10
4,llama-2-70b-chat,10.9,0.8,2.1,0.5,2.1,1.5,1.6,2.3,10
